visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 25948546
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
   0.09       0.09      0.261  23520                  8       289-340     DeQue                                317:6720, 329:4320, 308:3360, 315:3360, 316:2240, 296:1920, 318:1120, 294:480
   0.09       0.09      0.261  23512                  1       129-141     DataCopyUB2UBImpl                    138:23512
   0.09       0.09      0.250  22528                  3       924-935     InitFullGroupFromRow0                927:14336, 925:6144, 924:2048
   0.09       0.09      0.246  22240                  10      462-538     AllocBuffer                          488:3760, 523:3680, 470:3360, 473:2720, 472:2400, 477:2240, 512:1920, 478:1120
   0.09       0.09      0.245  22080                  1       127-133     EnQue                                132:22080
   0.08       0.08      0.238  21440                  7       203-259     EnQue                                237:5760, 247:4000, 217:3520, 215:2880, 238:2400, 239:2400, 213:480
   0.08       0.08      0.227  20480                  3       268-284     ShiftLeftImpl                        279:8192, 277:6144, 278:6144
   0.08       0.08      0.227  20480                  2       261-269     DeQue                                266:19360, 267:1120
   0.08       0.08      0.218  19680                  6       540-555     FreeAllEvent                         545:11200, 549:2880, 551:2880, 550:1280, 544:960, 552:480
   0.06       0.06      0.182  16384                  3       412-428     OrImpl                               422:6144, 425:6144, 426:4096
   0.06       0.06      0.182  16384                  2       108-124     MulsImpl                             118:8192, 119:8192
   0.06       0.06      0.182  16384                  1       23-41       BrcbImpl                             33:16384
   0.06       0.06      0.182  16384                  2       341-351     SqrtImpl                             345:8192, 346:8192
   0.06       0.06      0.182  16384                  1       105-121     CastIntrinsicsImpl                   110:16384
   0.06       0.06      0.182  16384                  1       240-277     CastIntrinsicsImpl                   245:16384
   0.06       0.06      0.182  16384                  1       237-249     Mul                                  247:16384
   0.06       0.06      0.182  16384                  1       721-733     Or                                   731:16384
   0.06       0.06      0.182  16384                  1       231-243     Muls                                 241:16384
   0.06       0.06      0.182  16384                  1       724-734     Sqrt                                 733:16384
   0.06       0.06      0.175  15764                  1       279-282     KfcMsgGetState                       281:15764
   0.06       0.06      0.173  15580                  11      467-502     TPipe::Destroy                       471:6800, 473:4160, 472:3760, 474:320, 497:240, 483:100, 481:80, 469:60
   0.06       0.06      0.171  15440                  4       406-460     FreeBuffer                           424:8320, 451:3520, 425:2480, 449:1120
   0.06       0.06      0.163  14720                  2       unknown     <unknown>                            96:12800, 95:1920
   0.06       0.06      0.161  14560                  2       75-85       Destroy                              79:13920, 77:640
   0.06       0.06      0.161  14560                  1       60-63       Destroy                              62:14560
   0.05       0.05      0.156  14080                  1       643-650     GetTensorC                           649:14080
   0.05       0.05      0.156  14080                  1       203-207     GetResult                            206:14080
   0.05       0.05      0.156  14080                  1       57-64       GetResult                            62:14080
   0.05       0.05      0.141  12760                  24      370-409     Init                                 387:1160, 394:840, 388:800, 390:800, 391:800, 392:800, 393:800, 396:680
   0.05       0.05      0.136  12280                  2       139-146     AllocMessage                         141:11240, 142:1040
   0.05       0.05      0.131  11840                  3       103-106     IsBufferCaching                      104:5440, 103:4160, 105:2240
   0.05       0.05      0.129  11680                  20      24-182      IsSupportLoad2dV2                    56:5120, 179:2880, 175:1280, 174:960, 40:640, 73:480, 53:160, 70:160
   0.04       0.04      0.129  11600                  1       119-125     FreeTensor                           123:11600
   0.04       0.04      0.119  10720                  9       455-487     GetResultImpl                        479:3040, 465:2560, 464:2080, 486:1920, 466:480, 463:320, 473:160, 485:160
   0.04       0.04      0.117  10600                  9       439-465     AllocMessageImpl                     449:4200, 457:2120, 458:1680, 448:1040, 462:1040, 442:520, 451:0, 459:0
   0.04       0.04      0.116  10440                  2       416-427     TPipe::AllocEventID                  421:5300, 425:5140
   0.04       0.04      0.112  10080                  2       46-50       OuterStart                           49:9920, 48:160
   0.04       0.04      0.110  9920                   16      347-388     UpdateOuterParams                    370:1600, 374:1280, 378:1280, 373:1120, 377:800, 372:640, 379:640, 382:480
   0.04       0.04      0.110  9920                   10      42-519      CopyTileToCube                       439:3840, 96:3840, 57:1280, 101:320, 95:320, 180:160, 186:160, 65:0
   0.04       0.04      0.110  9920                   8       34-528      IsNeedUB                             69:2720, 98:2720, 152:1280, 161:1120, 388:1120, 139:320, 396:320, 429:320
   0.04       0.04      0.109  9840                   5       244-280     SplitB                               271:5280, 269:2480, 270:1440, 255:640, 276:0
   0.04       0.04      0.106  9600                   4       87-96       AllocTensor                          91:6080, 93:2560, 92:640, 94:320
   0.03       0.03      0.101  9080                   10      277-329     TPipe::InitBuffer                    292:3000, 310:1400, 308:1160, 320:960, 307:840, 311:760, 313:560, 319:200
   0.03       0.03      0.098  8888                   1       379-384     Ceil                                 383:8888
   0.03       0.03      0.094  8498                   14      153-199     AllocUB                              166:3520, 183:3201, 195:960, 197:480, 196:320, 170:9, 167:3, 177:3
   0.03       0.03      0.092  8320                   7       220-242     SplitA                               235:4320, 233:1760, 234:1120, 229:800, 230:160, 231:160, 239:0
   0.03       0.03      0.091  8192                   1       534-562     DataCopyPadUB2GMImpl                 549:8192
   0.03       0.03      0.091  8192                   1       157-171     MulImpl                              166:8192
   0.03       0.03      0.091  8192                   1       234-244     ShiftLeftIntrinsicsImpl              242:8192
   0.03       0.03      0.091  8192                   1       76-84       MulsIntrinsicsImpl                   82:8192
   0.03       0.03      0.091  8192                   1       279-316     CastIntrinsicsImpl                   284:8192
   0.03       0.03      0.091  8192                   1       643-659     CastIntrinsicsImpl                   648:8192
   0.03       0.03      0.087  7840                   1       79-82       Destroy                              81:7840
   0.03       0.03      0.087  7840                   3       197-209     CopyIn                               201:4160, 199:3520, 202:160
   0.02       0.02      0.069  6240                   11      24-126      IsSupportLoad2dV2                    57:2720, 120:1600, 118:800, 119:320, 42:320, 71:320, 54:160, 102:0
   0.02       0.02      0.068  6144                   2       127-131     TqSyncSToMte3                        127:4096, 128:2048
   0.02       0.02      0.068  6144                   2       133-137     TqSyncVToMte3                        133:4096, 134:2048
   0.02       0.02      0.066  5920                   1       429-438     TPipe::ReleaseEventID                436:5920
   0.02       0.02      0.062  5600                   3       115-123     MoveOnFirstIterate                   119:3360, 118:2080, 117:160
   0.02       0.02      0.062  5600                   3       46-53       TPipe::TPipe                         47:2800, 49:2280, 48:520
   0.02       0.02      0.060  5400                   18      329-368     quantBufferMode_                     366:3200, 361:480, 349:280, 348:160, 353:160, 362:160, 344:120, 347:120
   0.02       0.02      0.059  5360                   2       226-237     InitObj                              234:5160, 233:200
   0.02       0.02      0.059  5280                   6       118-137     PostMessage                          121:1440, 122:960, 125:960, 136:960, 123:480, 124:480
   0.02       0.02      0.057  5120                   1       151-162     DeQue                                160:5120
   0.02       0.02      0.053  4760                   2       378-385     Init                                 384:4720, 383:40
   0.02       0.02      0.052  4720                   12      61-138      Init                                 84:1120, 96:720, 98:560, 99:560, 109:520, 81:320, 136:240, 77:200
   0.02       0.02      0.052  4720                   1       62-77       Init                                 64:4720
   0.02       0.02      0.051  4636                   9       454-491     SetTail                              476:1636, 478:1178, 480:960, 484:800, 477:62, 481:0, 482:0, 485:0
   0.02       0.02      0.050  4480                   2       48-52       SetInput                             51:4160, 50:320
   0.02       0.02      0.050  4480                   2       273-296     LoadDataImpl                         287:2880, 284:1600
   0.02       0.02      0.050  4480                   1       216-221     LoadData                             220:4480
   0.02       0.02      0.049  4440                   10      202-275     TPipe::InitBuffer                    226:1160, 251:560, 261:520, 241:480, 252:480, 254:440, 225:200, 231:200
   0.02       0.02      0.046  4160                   1       138-149     EnQue                                147:4160
   0.02       0.02      0.046  4160                   2       50-54       SetInput                             53:3520, 52:640
   0.02       0.02      0.045  4080                   14      66-107      Hit                                  99:640, 71:480, 89:480, 70:320, 75:320, 88:320, 93:320, 98:320
   0.01       0.01      0.043  3840                   1       53-57       AllocTensor                          55:3840
   0.01       0.01      0.043  3840                   3       41-115      CopyND2NZ                            93:2560, 100:1280, 72:0
   0.01       0.01      0.043  3840                   3       21-58       SetTensorA                           47:2400, 26:1280, 46:160
   0.01       0.01      0.040  3640                   3       509-518     FreeMessageImpl                      517:2080, 516:1040, 514:520
   0.01       0.01      0.040  3640                   1       60-63       FreeMessage                          62:3640
   0.01       0.01      0.040  3600                   13      43-84       KfcCommClient                        44:1800, 55:440, 79:320, 70:280, 80:240, 71:120, 58:80, 60:80
   0.01       0.01      0.039  3520                   6       107-119     Reset                                115:2560, 111:960, 112:0, 113:0, 116:0, 117:0
   0.01       0.01      0.039  3520                   8       65-91       FreeUB                               90:960, 75:640, 67:480, 77:480, 68:320, 78:320, 69:160, 79:160
   0.01       0.01      0.039  3520                   1       637-645     Buf2Tensor                           641:3520
   0.01       0.01      0.039  3520                   3       89-126      SetTensorB                           115:2400, 94:960, 114:160
   0.01       0.01      0.037  3360                   1       128-136     GetBuffer                            134:3360
   0.01       0.01      0.037  3360                   2       132-136     InnerStart                           135:3200, 134:160
   0.01       0.01      0.035  3200                   7       109-120     ResetCache                           114:960, 110:640, 111:320, 112:320, 113:320, 116:320, 118:320
   0.01       0.01      0.035  3200                   2       78-82       InnerStart                           81:2720, 80:480
   0.01       0.01      0.035  3200                   1       168-170     UpdateInnerParams                    169:3200
   0.01       0.01      0.035  3200                   2       295-306     UpdateInnerParamsImpl                305:2720, 300:480
   0.01       0.01      0.035  3200                   2       381-389     GetBufferPos                         384:3200, 385:0
   0.01       0.01      0.034  3040                   2       574-594     GetBufferAddr                        586:2880, 587:160
   0.01       0.01      0.031  2800                   6       86-116      ~KfcCommClient                       87:1400, 98:1080, 89:120, 103:80, 114:80, 102:40
   0.01       0.01      0.030  2720                   1       390-399     UpdateInnerParams                    397:2720
   0.01       0.01      0.028  2560                   3       257-267     SetBufferCaching                     259:1920, 265:640, 263:0
   0.01       0.01      0.028  2560                   1       69-72       DeQue                                71:2560
   0.01       0.01      0.028  2560                   4       40-64       GetBuffer                            54:1280, 45:1120, 55:160, 46:0
   0.01       0.01      0.028  2560                   2       282-299     CubeCompute                          296:2080, 291:480
   0.01       0.01      0.028  2560                   2       41-82       FixpipeParamsUtil                    43:1280, 61:1280
   0.01       0.01      0.027  2400                   2       493-500     SetTensorA                           498:2240, 499:160
   0.01       0.01      0.027  2400                   2       561-568     SetTensorB                           566:2240, 567:160
   0.01       0.01      0.027  2400                   1       281-297     LoadData3DV2L12L0BCal                287:2400
   0.01       0.01      0.025  2260                   10      63-138      TPipe::Init                          65:1580, 80:140, 128:120, 130:120, 137:60, 70:60, 77:60, 72:40
   0.01       0.01      0.025  2240                   3       245-255     SetCache                             247:1920, 253:320, 251:0
   0.01       0.01      0.023  2080                   1       64-67       EnQue                                66:2080
   0.01       0.01      0.023  2080                   2       63-68       OuterStart                           67:1920, 65:160
   0.01       0.01      0.023  2080                   3       31-71       Compute                              65:1920, 68:160, 69:0
   0.01       0.01      0.023  2080                   2       101-109     GetBufferPos                         104:2080, 105:0
   0.01       0.01      0.023  2048                   1       1014-1021   WaitPendingPackedWrites              1017:2048
   0.01       0.01      0.022  2000                   14      unknown     <unknown>                            305:1000, 308:80, 312:80, 316:80, 320:80, 324:80, 328:80, 332:80
   0.01       0.01      0.022  1980                   1       40-45       MATMUL_POLICY_TEMPLATE_OF            43:1980
   0.01       0.01      0.022  1980                   1       497-503     MATMUL_POLICY_TEMPLATE_OF            502:1980
   0.01       0.01      0.022  1980                   1       67-494      MATMUL_POLICY_DEFAULT_OF             80:1980
   0.01       0.01      0.021  1920                   1       74-77       FreeTensor                           76:1920
   0.01       0.01      0.021  1920                   3       323-336     UpdateOuterParams                    335:1120, 328:640, 327:160
   0.01       0.01      0.021  1920                   1       79-86       IsLastOuterIter                      84:1920
   0.01       0.01      0.021  1920                   2       128-132     InnerStart                           131:1600, 130:320
   0.01       0.01      0.021  1920                   1       66-80       DataCopyGM2UBImpl                    77:1920
   0.01       0.01      0.021  1920                   1       38-76       DataCopy                             59:1920
   0.01       0.01      0.021  1920                   2       318-330     MmadImpl                             328:1760, 329:160
   0.01       0.01      0.021  1920                   1       285-290     Mmad                                 289:1920
   0.01       0.01      0.018  1600                   3       280-305     SplitPrepareOneIter                  303:640, 304:640, 301:320
   0.01       0.01      0.018  1600                   3       84-93       InnerNext                            86:800, 87:800, 90:0
   0.01       0.01      0.018  1600                   2       159-167     UpdateInnerParams                    166:1280, 162:320
   0.01       0.01      0.018  1600                   1       237-262     LoadData3DV2L12L0ACal                252:1600
   0.01       0.01      0.018  1600                   2       318-337     MmadCal                              333:1440, 328:160
   0.01       0.01      0.016  1480                   2       unknown     <unknown>                            72:880, 115:600
   0.01       0.01      0.016  1440                   1       283-286     KfcMsgMakeFlag                       285:1440
   0.01       0.01      0.015  1378                   1       178-192     SetSingleShapeImpl                   186:1378
   0.01       0.01      0.015  1378                   9       252-271     SetSingleShapeFromTiling             265:319, 257:257, 259:248, 258:186, 264:102, 270:102, 262:93, 260:40
   0.01       0.01      0.015  1378                   1       43-45       SetSingleShape                       44:1378
   0.01       0.01      0.015  1340                   10      890-905     TPipe::ResetPool                     900:520, 899:280, 896:120, 892:60, 893:60, 894:60, 895:60, 902:60
   0.01       0.01      0.015  1340                   5       30-45       clearWorkspace                       38:1160, 33:100, 37:40, 36:20, 39:20
   0.01       0.01      0.015  1320                   3       50-58       Init                                 56:1280, 53:20, 54:20
   0.00       0.00      0.014  1280                   1       110-127     DataCopyUB2GMImpl                    124:1280
   0.00       0.00      0.014  1280                   1       262-294     DataCopyGM2L1ND2NZImplBase           275:1280
   0.00       0.00      0.014  1280                   1       296-310     DataCopyGM2L1ND2NZImpl               304:1280
   0.00       0.00      0.014  1280                   1       145-165     DataCopy                             155:1280
   0.00       0.00      0.014  1280                   1       239-295     DataCopy                             265:1280
   0.00       0.00      0.014  1280                   1       386-390     CeilAlign                            389:1280
   0.00       0.00      0.012  1120                   2       41-73       Init                                 65:1040, 45:80
   0.00       0.00      0.012  1120                   3       35-51       Init                                 49:640, 50:440, 48:40
   0.00       0.00      0.012  1120                   1       38-42       Init                                 40:1120
