visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
1137  0                      1       11
1138  0                      1       6
1140  0                      1       10
1141  0                      1       2
1161  0                      1       5
1171  4320                   1       14
1172  800                    1       4
1173  480                    1       4
1175  3104                   1       4
1177  1024                   1       2
1178  8192                   1       4
1180  4096                   1       2
1181  6264                   1       4
1182  0                      1       2
1185  4096                   1       2
1186  6144                   1       2
1190  4096                   1       4
1191  2048                   1       2
1192  43008                  1       8
1194  206848                 1       18
1196  6144                   1       6
1198  43008                  1       6
1199  2048                   1       2
1203  3120                   1       2
1212  0                      1       103
1213  0                      1       53
1214  0                      1       12
1218  0                      1       16
1221  0                      1       32
1222  0                      1       16
1225  0                      1       16
1226  0                      1       13
1238  0                      1       32
1240  0                      1       8
1245  0                      1       94
1246  0                      1       50
1258  0                      1       31
1260  0                      1       8
1265  0                      1       94
1266  0                      1       49
1284  0                      1       12
1291  0                      1       18
1292  0                      1       13
1305  0                      1       3
1306  0                      1       4
1309  0                      1       1
1315  0                      1       7
1319  0                      1       7
1322  0                      1       2
1323  0                      1       1
1340  11440                  1       9
1343  800                    1       6
1347  1776550                1       10
1348  366408                 1       10
1360  3076                   1       4
1362  640                    1       1
1363  400                    1       1
1365  160                    1       1
1366  0                      1       5
1367  0                      1       3
1370  0                      1       3
1373  0                      1       1
1377  400                    1       2
1378  480                    1       1
1381  240                    1       1
1385  1104488                1       3
1386  160                    1       2
1388  400                    1       2
1390  1050710                1       2
1394  80                     1       1
1395  80                     1       1
1400  80                     1       2
1409  120                    1       1
1410  160                    1       1
1421  0                      1       6
1422  0                      1       4
1431  280                    1       7
1434  0                      1       50
1435  0                      1       48
1444  280                    1       13
1449  0                      1       7
1459  0                      1       4
1462  0                      1       4
1483  0                      1       8
1486  0                      1       3
1493  0                      1       5
1495  0                      1       5
1496  0                      1       2
1497  0                      1       3
1499  0                      1       9
1500  0                      1       2
1501  0                      1       4
1503  0                      1       2
1504  0                      1       6
1505  0                      1       4
1508  0                      1       5
1509  0                      1       9
1510  0                      1       4
1511  0                      1       2
1512  0                      1       2
1515  0                      1       2
1526  120                    1       2
1528  200                    1       3
1553  84                     1       1
1554  588                    1       2
1555  0                      1       2
1556  0                      1       1
1559  0                      1       1
1560  0                      1       3
1573  0                      1       1
1574  0                      1       1
1577  126                    1       1
1580  378                    1       1
1581  0                      1       3
1583  2162606                1       4
1588  42                     1       1
1589  126                    1       2
1590  168                    1       1
1593  294                    1       2
1596  0                      1       1
1597  0                      1       2
1617  200                    1       1
1618  80                     1       2
1619  120                    1       1
1626  160                    1       2
1634  2240                   1       4
1637  600                    1       4
1642  280                    1       1
1646  200                    1       3
1647  40                     1       1
1648  40                     1       1
1652  120                    1       2
1653  120                    1       1
1654  40                     1       1
1656  40                     1       1
1661  440                    1       2
1665  120                    1       1
1670  210                    1       2
1671  210                    1       2
1672  84                     1       2
1675  84                     1       2
1676  126                    1       2
1677  84                     1       2
1678  126                    1       3
1679  42                     1       1
1682  84                     1       1
1683  42                     1       1
1686  2165210                1       1
1696  126                    1       2
1699  280                    1       1
